core,CPD_A,SMILES_A,R_A,pKi_A,LogD_A,Sol_A_uM,CPD_B,SMILES_B,R_B,pKi_B,LogD_B,Sol_B_uM,delta_pKi,delta_LogD,delta_LogSol,abs_delta_pKi,physchem_shift,potency_specificity
O=C(N[*:1])c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,CPD_47,O=C(Nc1nc(-c2cccnc2)cs1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,c1cncc(-c2csc([*:1])n2)c1,5.0,5.297,0.1,CPD_178,O=C(NC1CN(c2ccncc2)C1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,c1cc(N2CC([*:1])C2)ccn1,7.9,1.282,330.0,2.9,-4.01,3.52,2.9,5.335775482532974,0.5191758976114343
O=C(N[*:1])c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,CPD_86,O=C(NCC1CC(C(=O)N2CCCC2)=NO1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C(C1=NOC(C[*:1])C1)N1CCCC1,5.0,1.879,5.1,CPD_178,O=C(NC1CN(c2ccncc2)C1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,c1cc(N2CC([*:1])C2)ccn1,7.9,1.282,330.0,2.9,-0.6,1.81,2.9,1.9068560512005095,1.3445496274013535
O=C(Cn1c(C(=O)N[*:1])nc2ccccc21)Nc1ccc(Cl)cn1,CPD_427,CCN1CCN(c2ccc(NC(=O)c3nc4ccccc4n3CC(=O)Nc3ccc(Cl)cn3)cc2)C(=O)C1=O,CCN1CCN(c2ccc([*:1])cc2)C(=O)C1=O,4.97,2.222,7.3,CPD_598,O=C(Cn1c(C(=O)Nc2ccc(-n3ccncc3=O)cc2)nc2ccccc21)Nc1ccc(Cl)cn1,O=c1cnccn1-c1ccc([*:1])cc1,7.83,3.118,2.9,2.86,0.9,-0.4,2.86,0.9848857801796105,2.316003670869075
CC(C)N1CCC(NC(=O)c2cc3ccccc3n2[*:1])CC1,CPD_33,CC(C)N1CCC(NC(=O)c2cc3ccccc3n2Cc2csc(-c3ccc(Cl)cc3)n2)CC1,Clc1ccc(-c2nc(C[*:1])cs2)cc1,5.57,3.106,54.0,CPD_83,CC(C)N1CCC(NC(=O)c2cc3ccccc3n2CC(=O)Nc2ccc(Cl)cc2)CC1,O=C(C[*:1])Nc1ccc(Cl)cc1,8.38,1.359,3800.0,2.82,-1.75,1.85,2.82,2.5465663156493688,1.0083794488331987
CC(C)N1CCC(NC(=O)c2cc3ccccc3n2[*:1])CC1,CPD_854,COc1ccc(NC(=O)Cn2c(C(=O)NC3CCN(C(C)C)CC3)cc3ccccc32)cc1,COc1ccc(NC(=O)C[*:1])cc1,5.72,0.402,22000.0,CPD_860,CC(C)N1CCC(NC(=O)c2cc3ccccc3n2CC(=O)Nc2ccc(Br)cc2)CC1,O=C(C[*:1])Nc1ccc(Br)cc1,8.5,1.599,3500.0,2.78,1.2,-0.8,2.78,1.4422205101855958,1.6428119049893213
Cc1cc(C(=O)O)cc2cc(C(=O)NC3CCN(C4CC4)CC3)n(C[*:1])c12,CPD_716,Cc1cc(C(=O)O)cc2cc(C(=O)NC3CCN(C4CC4)CC3)n(Cc3cc4ccc(Cl)cc4s3)c12,Clc1ccc2cc([*:1])sc2c1,5.69,3.394,1.8,CPD_718,Cc1cc(C(=O)O)cc2cc(C(=O)NC3CCN(C4CC4)CC3)n(Cc3nnc(-c4ccc(Cl)s4)s3)c12,Clc1ccc(-c2nnc([*:1])s2)s1,8.44,1.625,3.5,2.75,-1.77,0.29,2.75,1.793599732381782,1.3456646898240292
Clc1ccc(-c2cc(Cn3c([*:1])nc4ccccc43)no2)s1,CPD_438,CCN1CCN(c2ccc(NC(=O)c3nc4ccccc4n3Cc3cc(-c4ccc(Cl)s4)on3)cc2)C(=O)C1=O,CCN1CCN(c2ccc(NC(=O)[*:1])cc2)C(=O)C1=O,5.96,3.038,0.7,CPD_606,O=C(Nc1ccc(-n2ccncc2=O)cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C(Nc1ccc(-n2ccncc2=O)cc1)[*:1],8.71,3.934,0.3,2.75,0.9,-0.37,2.75,0.9730878685915265,2.2484075515905677
O=C(N[*:1])c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,CPD_421,Cc1ccc(=O)n(-c2ccc(NC(=O)c3nc4ccccc4n3Cc3cc(-c4ccc(Cl)s4)on3)cc2)n1,Cc1ccc(=O)n(-c2ccc([*:1])cc2)n1,5.0,3.824,0.3,CPD_425,CN1[C@@H]2CC[C@H]1C[C@@H](NC(=O)c1nc3ccccc3n1Cc1cc(-c3ccc(Cl)s3)on1)C2,CN1[C@@H]2CC[C@H]1C[C@@H]([*:1])C2,7.69,2.187,69.0,2.69,-1.64,2.36,2.69,2.873882391469769,0.8611079621132504
O=C(Cn1c(C(=O)Nc2ccc([*:1])cc2)nc2ccccc21)Nc1ccc(Cl)cn1,CPD_427,CCN1CCN(c2ccc(NC(=O)c3nc4ccccc4n3CC(=O)Nc3ccc(Cl)cn3)cc2)C(=O)C1=O,CCN1CCN([*:1])C(=O)C1=O,4.97,2.222,7.3,CPD_531,O=C(Cn1c(C(=O)Nc2ccc(-n3ccc(=O)[nH]c3=O)cc2)nc2ccccc21)Nc1ccc(Cl)cn1,O=c1ccn([*:1])c(=O)[nH]1,7.54,2.869,2.6,2.56,0.65,-0.45,2.56,0.7905694150420949,2.460191471124911
Cc1cc(C(=O)O)cc2cc(C(=O)NC3CCN(C4CC4)CC3)n(C[*:1])c12,CPD_716,Cc1cc(C(=O)O)cc2cc(C(=O)NC3CCN(C4CC4)CC3)n(Cc3cc4ccc(Cl)cc4s3)c12,Clc1ccc2cc([*:1])sc2c1,5.69,3.394,1.8,CPD_802,Cc1cc(C(=O)O)cc2cc(C(=O)NC3CCN(C4CC4)CC3)n(CC(=O)Nc3ccc(Br)cn3)c12,O=C(Nc1ccc(Br)cn1)[*:1],8.15,0.553,6.7,2.46,-2.84,0.57,2.46,2.8966359798911565,0.7817872851263502
O=C(Nc1ccc([*:1])cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,CPD_533,O=C(Nc1ccc(N2CCOC2=O)cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C1OCCN1[*:1],6.33,4.952,0.1,CPD_606,O=C(Nc1ccc(-n2ccncc2=O)cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=c1cnccn1[*:1],8.71,3.934,0.3,2.38,-1.02,0.48,2.38,1.127297653683356,1.7280215308833797
Clc1ccc(-c2cc(Cn3c([*:1])cc4ccccc43)no2)s1,CPD_43,O=C(c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1)N1CCC(Oc2ccncc2)CC1,O=C(N1CCC(Oc2ccncc2)CC1)[*:1],5.53,3.739,1.1,CPD_178,O=C(NC1CN(c2ccncc2)C1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C(NC1CN(c2ccncc2)C1)[*:1],7.9,1.282,330.0,2.37,-2.46,2.48,2.37,3.493136126749142,0.6331589126731305
CC(C)N1CCC(NC(=O)c2nc3c(C(=O)O)cccc3n2C[*:1])CC1,CPD_671,CC(C)N1CCC(NC(=O)c2nc3c(C(=O)O)cccc3n2Cc2n[nH]c3ccc(Cl)cc23)CC1,Clc1ccc2[nH]nc([*:1])c2c1,5.89,1.751,1.1,CPD_754,CC(C)N1CCC(NC(=O)c2nc3c(C(=O)O)cccc3n2Cc2cc3ccc(Cl)cc3s2)CC1,Clc1ccc2cc([*:1])sc2c1,8.25,4.311,0.2,2.35,2.56,-0.74,2.35,2.6648076853686833,0.8062281473306728
Clc1ccc(-c2cc(Cn3c([*:1])cc4ccccc43)no2)s1,CPD_46,O=C(Nc1ccc(-c2c[nH]cn2)cc1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C(Nc1ccc(-c2c[nH]cn2)cc1)[*:1],5.0,4.299,0.0,CPD_60,CC(C)N1CC[C@@H](NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)C1,CC(C)N1CC[C@@H](NC(=O)[*:1])C1,7.32,1.909,390.0,2.32,-2.39,3.59,2.32,4.312794917452023,0.5084602840961225
Cc1cc(C(=O)O)cc2cc(C(=O)NC3CCN(C4CC4)CC3)n([*:1])c12,CPD_716,Cc1cc(C(=O)O)cc2cc(C(=O)NC3CCN(C4CC4)CC3)n(Cc3cc4ccc(Cl)cc4s3)c12,Clc1ccc2cc(C[*:1])sc2c1,5.69,3.394,1.8,CPD_744,Cc1cc(C(=O)O)cc2cc(C(=O)NC3CCN(C4CC4)CC3)n(CC(=O)Nc3ccc(Cl)cn3)c12,O=C(C[*:1])Nc1ccc(Cl)cn1,8.0,0.308,9.7,2.32,-3.09,0.73,2.32,3.175059054568907,0.6773605835803627
O=C(N[*:1])c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,CPD_47,O=C(Nc1nc(-c2cccnc2)cs1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,c1cncc(-c2csc([*:1])n2)c1,5.0,5.297,0.1,CPD_60,CC(C)N1CC[C@@H](NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)C1,CC(C)N1CC[C@@H]([*:1])C1,7.32,1.909,390.0,2.32,-3.39,3.59,2.32,4.937631010920115,0.44721762112924607
CC(C)N1CCC(NC(=O)c2cc3ccccc3n2[*:1])CC1,CPD_33,CC(C)N1CCC(NC(=O)c2cc3ccccc3n2Cc2csc(-c3ccc(Cl)cc3)n2)CC1,Clc1ccc(-c2nc(C[*:1])cs2)cc1,5.57,3.106,54.0,CPD_858,CC(C)N1CCC(NC(=O)c2cc3ccccc3n2CC(=O)Nc2ccc(Cl)c(F)c2)CC1,O=C(C[*:1])Nc1ccc(Cl)c(F)c1,7.84,2.002,750.0,2.28,-1.1,1.14,2.28,1.5841717078650281,1.2430679146468324
CC(C)N1CCC(NC(=O)c2cc3ccccc3n2[*:1])CC1,CPD_33,CC(C)N1CCC(NC(=O)c2cc3ccccc3n2Cc2csc(-c3ccc(Cl)cc3)n2)CC1,Clc1ccc(-c2nc(C[*:1])cs2)cc1,5.57,3.106,54.0,CPD_146,CC(C)N1CCC(NC(=O)c2cc3ccccc3n2CC(=O)Nc2ccc(Cl)s2)CC1,O=C(C[*:1])Nc1ccc(Cl)s1,7.82,1.184,1900.0,2.26,-1.92,1.55,2.26,2.467569654538652,0.8316254180368631
O=C(N[*:1])c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,CPD_438,CCN1CCN(c2ccc(NC(=O)c3nc4ccccc4n3Cc3cc(-c4ccc(Cl)s4)on3)cc2)C(=O)C1=O,CCN1CCN(c2ccc([*:1])cc2)C(=O)C1=O,5.96,3.038,0.7,CPD_519,O=C(Nc1ccc(-n2ccc(=O)[nH]c2=O)cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=c1ccn(-c2ccc([*:1])cc2)c(=O)[nH]1,8.2,3.685,0.2,2.24,0.65,-0.54,2.24,0.8450443775329199,2.0455791983943223
CC(C)N1CCC(NC(=O)c2nc3c(C(=O)O)cccc3n2C[*:1])CC1,CPD_650,CC(C)N1CCC(NC(=O)c2nc3c(C(=O)O)cccc3n2Cc2cc3cc(Cl)ccc3s2)CC1,Clc1ccc2sc([*:1])cc2c1,6.04,4.311,0.2,CPD_754,CC(C)N1CCC(NC(=O)c2nc3c(C(=O)O)cccc3n2Cc2cc3ccc(Cl)cc3s2)CC1,Clc1ccc2cc([*:1])sc2c1,8.25,4.311,0.2,2.21,0.0,0.0,2.21,0.0,8.84
O=C(N[*:1])c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,CPD_27,O=CN1CCC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,O=CN1CCC([*:1])CC1,5.69,2.671,2.4,CPD_178,O=C(NC1CN(c2ccncc2)C1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,c1cc(N2CC([*:1])C2)ccn1,7.9,1.282,330.0,2.21,-1.39,2.14,2.21,2.55180328395431,0.7887777177850004
Clc1ccc(-c2cc(Cn3c([*:1])cc4ccccc43)no2)s1,CPD_18,COC(=O)N1CCC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,COC(=O)N1CCC(NC(=O)[*:1])CC1,5.75,3.257,1.6,CPD_178,O=C(NC1CN(c2ccncc2)C1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C(NC1CN(c2ccncc2)C1)[*:1],7.9,1.282,330.0,2.15,-1.98,2.31,2.15,3.042449670906653,0.653009222585306
CC(C)N1CCC(NC(=O)c2cc3ccccc3n2[*:1])CC1,CPD_854,COc1ccc(NC(=O)Cn2c(C(=O)NC3CCN(C(C)C)CC3)cc3ccccc32)cc1,COc1ccc(NC(=O)C[*:1])cc1,5.72,0.402,22000.0,CPD_858,CC(C)N1CCC(NC(=O)c2cc3ccccc3n2CC(=O)Nc2ccc(Cl)c(F)c2)CC1,O=C(C[*:1])Nc1ccc(Cl)c(F)c1,7.84,2.002,750.0,2.12,1.6,-1.47,2.12,2.172763217656264,0.8750339218253647
COCCOc1cc2cc(C(=O)NC3CCN(C(C)C)CC3)n(C[*:1])c2cn1,CPD_797,COCCOc1cc2cc(C(=O)NC3CCN(C(C)C)CC3)n(CC(=O)Nc3ccc(C(F)(F)F)cn3)c2cn1,O=C(Nc1ccc(C(F)(F)F)cn1)[*:1],4.0,0.247,110000.0,CPD_832,COCCOc1cc2cc(C(=O)NC3CCN(C(C)C)CC3)n(Cc3cc4ccc(Cl)nc4s3)c2cn1,Clc1ccc2cc([*:1])sc2n1,6.1,1.337,19000.0,2.1,1.09,-0.76,2.1,1.3287964479181904,1.3301271375224282
CC(C)N1CCC(NC(=O)c2cc3ccccc3n2[*:1])CC1,CPD_33,CC(C)N1CCC(NC(=O)c2cc3ccccc3n2Cc2csc(-c3ccc(Cl)cc3)n2)CC1,Clc1ccc(-c2nc(C[*:1])cs2)cc1,5.57,3.106,54.0,CPD_856,CC(C)N1CCC(NC(=O)c2cc3ccccc3n2CC(=O)Nc2ccc(I)cc2)CC1,O=C(C[*:1])Nc1ccc(I)cc1,7.64,2.023,2600.0,2.07,-1.08,1.68,2.07,1.9971980372511884,0.9211471199628047
Clc1ccc(-c2cc(Cn3c([*:1])cc4ccnc(OCC5CC5)c43)no2)s1,CPD_947,CC(C)NC1CCN(C(=O)c2cc3ccnc(OCC4CC4)c3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CC(C)NC1CCN(C(=O)[*:1])CC1,4.74,0.754,780.0,CPD_948,O=C(Nc1ccc(N2CCCC2=O)cc1)c1cc2ccnc(OCC3CC3)c2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C1CCCN1c1ccc(NC(=O)[*:1])cc1,6.81,3.813,0.0,2.07,3.06,-3.89,2.07,4.949313083651104,0.39812951570640703
CC(C)N1CCC(NC(=O)c2c([*:1])c3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_82,CC(C)OC(=O)c1c(C(=O)NC2CCN(C(C)C)CC2)n(Cc2cc(-c3ccc(Cl)s3)on2)c2ccccc12,CC(C)OC(=O)[*:1],6.09,2.343,95.0,CPD_764,Cc1c(C(=O)NC2CCN(C(C)C)CC2)n(Cc2cc(-c3ccc(Cl)s3)on2)c2ccccc12,C[*:1],8.14,2.409,230.0,2.05,0.07,0.38,2.05,0.38639358172723315,3.2212769877975567
O=C(Nc1ccc([*:1])cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,CPD_559,O=C1CCN(c2ccc(NC(=O)c3nc4ccccc4n3Cc3cc(-c4ccc(Cl)s4)on3)cc2)CC1,O=C1CCN([*:1])CC1,6.68,4.038,0.4,CPD_606,O=C(Nc1ccc(-n2ccncc2=O)cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=c1cnccn1[*:1],8.71,3.934,0.3,2.03,-0.1,-0.12,2.03,0.1562049935181331,4.997476723312069
CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)O)ccc3n2[*:1])CC1,CPD_409,COc1cccc(Cn2c(C(=O)NC3CCN(C(C)C)CC3)cc3cc(C(=O)O)ccc32)c1,COc1cccc(C[*:1])c1,6.08,0.607,45.0,CPD_416,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)O)ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,O=C(C[*:1])Nc1ccc(Cl)cn1,8.09,0.362,8.8,2.01,-0.24,-0.71,2.01,0.7494664769020694,2.0110729538725143
O=C(N[*:1])c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,CPD_46,O=C(Nc1ccc(-c2c[nH]cn2)cc1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,c1nc(-c2ccc([*:1])cc2)c[nH]1,5.0,4.299,0.0,CPD_58,CCN1CC[C@@H](NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)C1,CCN1CC[C@@H]([*:1])C1,7.0,1.624,680.0,2.0,-2.68,3.83,2.0,4.674537410268528,0.4061295170242077
O=C(N[*:1])c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,CPD_47,O=C(Nc1nc(-c2cccnc2)cs1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,c1cncc(-c2csc([*:1])n2)c1,5.0,5.297,0.1,CPD_58,CCN1CC[C@@H](NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)C1,CCN1CC[C@@H]([*:1])C1,7.0,1.624,680.0,2.0,-3.67,3.83,2.0,5.304507517197049,0.3600679256996042
CC(C)N1CCC(NC(=O)c2nc3c(C(=O)O)cccc3n2C[*:1])CC1,CPD_467,COc1cccc(Cn2c(C(=O)NC3CCN(C(C)C)CC3)nc3c(C(=O)O)cccc32)c1,COc1cccc([*:1])c1,6.25,1.47,4.5,CPD_754,CC(C)N1CCC(NC(=O)c2nc3c(C(=O)O)cccc3n2Cc2cc3ccc(Cl)cc3s2)CC1,Clc1ccc2cc([*:1])sc2c1,8.25,4.311,0.2,1.99,2.84,-1.35,1.99,3.1445349417680193,0.5862364165158727
O=C(N[*:1])c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,CPD_46,O=C(Nc1ccc(-c2c[nH]cn2)cc1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,c1nc(-c2ccc([*:1])cc2)c[nH]1,5.0,4.299,0.0,CPD_63,CC(C)N1CC[C@H](NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)C1,CC(C)N1CC[C@H]([*:1])C1,6.99,1.909,390.0,1.99,-2.39,3.59,1.99,4.312794917452023,0.43613619196176034
Clc1ccc(-c2cc(Cn3c([*:1])cc4ccccc43)no2)s1,CPD_47,O=C(Nc1nc(-c2cccnc2)cs1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C(Nc1nc(-c2cccnc2)cs1)[*:1],5.0,5.297,0.1,CPD_63,CC(C)N1CC[C@H](NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)C1,CC(C)N1CC[C@H](NC(=O)[*:1])C1,6.99,1.909,390.0,1.99,-3.39,3.59,1.99,4.937631010920115,0.3836047698479309
O=C(N[*:1])c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,CPD_438,CCN1CCN(c2ccc(NC(=O)c3nc4ccccc4n3Cc3cc(-c4ccc(Cl)s4)on3)cc2)C(=O)C1=O,CCN1CCN(c2ccc([*:1])cc2)C(=O)C1=O,5.96,3.038,0.7,CPD_457,O=C(Nc1ccc(-n2ccc(=O)cc2)cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=c1ccn(-c2ccc([*:1])cc2)cc1,7.92,3.915,0.4,1.97,0.88,-0.24,1.97,0.9121403400793103,1.695148109104927
O=C(N[*:1])c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,CPD_86,O=C(NCC1CC(C(=O)N2CCCC2)=NO1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C(C1=NOC(C[*:1])C1)N1CCCC1,5.0,1.879,5.1,CPD_208,O=C(NC1CN(c2cc[n+]([O-])cc2)C1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,[O-][n+]1ccc(N2CC([*:1])C2)cc1,6.96,1.058,17.0,1.96,-0.82,0.52,1.96,0.9709788875150684,1.6052693621828176
Clc1ccc(-c2cc(Cn3c([*:1])cc4ccccc43)no2)s1,CPD_47,O=C(Nc1nc(-c2cccnc2)cs1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C(Nc1nc(-c2cccnc2)cs1)[*:1],5.0,5.297,0.1,CPD_208,O=C(NC1CN(c2cc[n+]([O-])cc2)C1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C(NC1CN(c2cc[n+]([O-])cc2)C1)[*:1],6.96,1.058,17.0,1.96,-4.24,2.23,1.96,4.790668011874753,0.3888373515936087
